BibNumber,ItemBarcode,ItemType,Collection,CallNumber,CheckoutDateTime
2543647,10063298235,accd,nacd,CD 782.42166 C6606So,01-02-2017 08:13
3172300,10087522552,acbk,namys,MYSTERY COTTERI 2016,01-02-2017 08:13
2393405,10054483200,acbk,camys,MYSTERY MAY2006,01-02-2017 08:24
3199718,10088153514,acdvd,nadvdnf,DVD 781.66092 M3347G 2013,01-02-2017 08:33
3211526,10089643810,accd,nacd,CD 782.42166 Sh75o,01-02-2017 08:33
2743540,10074812131,acbk,nanf,158.20874 M3167L 2011,01-02-2017 08:33
3100439,10085432515,accd,cacdnf,CD 617.48092 M353M 2015,01-02-2017 08:48
2679201,10072536583,accd,cacdnf,CD 616.994 M8968E 2010,01-02-2017 08:48
3167465,10088368476,accd,cacdnf,CD 327.1273 H3246P 2016,01-02-2017 08:48
3172511,10087959317,acdvd,nadvd,JAPANESE DVD KOTONOH,01-02-2017 08:51
3216974,10087573449,acdvd,nadvd,DVD SEA OF,01-02-2017 08:51
3216678,10087544077,acbk,nanf,746.44043 H539Z 2016,01-02-2017 08:51
3221781,10087361837,acbk,nanf,746.434 C8721 2016,01-02-2017 08:51
3132683,10059283654,accd,nabocd,CD MYSTERY GALBRAI,01-02-2017 09:32
3183319,10089260953,acbk,nafic,FIC HAWLEY 2016,01-02-2017 09:33
3199612,10088012553,acbk,nafic,FIC WARE 2016,01-02-2017 09:33
2384552,10058901520,acdvd,cadvd,DVD DRESSED,01-02-2017 09:33
3146168,10089239338,acdvd,nadvd,DVD MARTIAN,01-02-2017 09:33
2699432,10072814808,accd,cabocd,CD MYSTERY CONNELL,01-02-2017 09:33
3043811,10083555234,acdvd,nadvd,DVD CLINT E,01-02-2017 09:33
3198377,10088035786,acbk,nafic,FIC SILVA 2016,01-02-2017 09:33
2686927,10083718626,acdvd,nadvd,DVD INSOMNI,01-02-2017 09:33
2969030,10082270165,accd,nabocd,CD FIC KNOTT,01-02-2017 09:33
